symbol,name,exchange,quantity,prices,value
MOQ.AX,MOQ Ltd,ASX,12806,0.165000007,"2,113"
ONT.AX,1300 Smiles Ltd,ASX,18304,5.159999847,"94,449"
14D.AX,1414 Degrees Ltd,ASX,14718,0.090999998,"1,339"
1ST.AX,1st Group Ltd,ASX,10464,0.030999999,324
T3D.AX,333D Ltd,ASX,14652,0.001,15
TGP.AX,360 Capital Group Ltd,ASX,13531,0.850000024,"11,501"
TOT.AX,360 Capital REIT,ASX,17876,0.86500001,"15,463"
TDO.AX,3D Oil Ltd,ASX,15239,0.071999997,"1,097"
DDD.AX,3D Resources Ltd,ASX,13481,0.003,40
3PL.AX,3P Learning Ltd,ASX,16120,0.860000014,"13,863"
4DS.AX,4DS Memory Ltd,ASX,13411,0.046,617
5GN.AX,5G Networks Ltd,ASX,19039,1.179999948,"22,466"
88E.AX,88 Energy Ltd,ASX,15336,0.005,77
8CO.AX,8Common Ltd,ASX,19845,0.063000001,"1,250"
8IH.AX,8I Holdings Ltd,ASX,17542,0.100000001,"1,754"
8EC.AX,8IP Emerging Companies Ltd,ASX,12866,2.433700085,"31,312"
8VI.AX,8VIC Holdings Ltd,ASX,11795,0.400000006,"4,718"
9SP.AX,9 Spokes International Ltd,ASX,15729,0.028999999,456
WOW.AX,99 Wuxian Ltd,ASX,15291,0.050000001,765
ACB.AX,A-Cap Energy Ltd,ASX,17468,0.007,122
AYI.AX,A1 Investments & Resources Ltd,ASX,11643,0.001,12
A2B.AX,A2B Australia Ltd,ASX,13177,0.810000002,"10,673"
ABP.AX,Abacus Property Group,ASX,17173,1,"46,024"
ABL.AX,Abilene Oil and Gas Ltd,ASX,11060,0.001,11
AEG.AX,Absolute Equity Performance Fund Ltd,ASX,19270,1.120000005,"21,582"
AKG.AX,Academies Australasia Group Ltd,ASX,12722,0.234999999,"2,990"
AX8.AX,Accelerate Resources Ltd,ASX,13013,0.023,299
AX1.AX,Accent Group Ltd,ASX,12295,1.399999976,"17,213"
ACS.AX,Accent Resources NL,ASX,13663,0.005,68
ACQ.AX,Acorn Capital Investment Fund Ltd,ASX,10325,0.899999976,"9,292"
ACF.AX,Acrow Formwork and Construction Services Ltd,ASX,13490,0.314999998,"4,249"
ACR.AX,Acrux Ltd,ASX,13260,0.144999996,"1,923"
ACW.AX,Actinogen Medical Ltd,ASX,11102,0.022,244
AIV.AX,ActivEX Ltd,ASX,14688,0.129999995,"1,909"
ACU.AX,Acumentis Group Ltd,ASX,18510,0.079999998,"1,481"
AD1.AX,AD1 Holdings Ltd,ASX,16123,0.01,161
ADA.AX,Adacel Technologies Ltd,ASX,10361,0.409999996,"4,248"
ADH.AX,Adairs Ltd,ASX,13350,2.299999952,"30,705"
1AD.AX,Adalta Ltd,ASX,18345,0.085000001,"1,559"
ADD.AX,Adavale Resources Ltd,ASX,10381,0.012,125
ABC.AX,Adbri Ltd,ASX,17584,3.180000067,"55,917"
ADR.AX,Adherium Ltd,ASX,11022,0.024,265
ADY.AX,Admiralty Resources NL,ASX,14350,0.006,86
ADS.AX,Adslot Ltd,ASX,15949,0.017999999,287
ANO.AX,Advance Nanotek Ltd,ASX,15984,4.25,"67,932"
ABV.AX,Advanced Braking Technology Ltd,ASX,15609,0.024,375
ASW.AX,Advanced Share Registry Ltd,ASX,16698,0.649999976,"10,854"
AV1.AX,Adveritas Ltd,ASX,10207,0.079000004,806
ADX.AX,Adx Energy Ltd,ASX,14624,0.008,117
AER.AX,Aeeris Ltd,ASX,15686,0.092,"1,443"
AML.AX,Aeon Metals Ltd,ASX,10910,0.085000001,927
AEI.AX,Aeris Environmental Ltd,ASX,18768,0.524999976,"9,853"
AIS.AX,Aeris Resources Ltd,ASX,14504,0.033,479
AMX.AX,Aerometrex Ltd,ASX,16922,1.5,"25,383"
AFL.AX,AF Legal Group Ltd,ASX,17124,0.200000003,"3,425"
AFR.AX,African Energy Resources Ltd,ASX,13754,0.014,193
A1G.AX,African Gold Ltd,ASX,10006,0.125,"1,251"
AFT.AX,AFT Corporation Ltd,ASX,12233,0.001,12
AFP.AX,AFT Pharmaceuticals Ltd,ASX,19598,3.599999905,"70,553"
APT.AX,Afterpay Ltd,ASX,19022,60.99000168,"1,160,152"
AGL.AX,AGL Energy Ltd,ASX,10255,17.04999924,"174,848"
AGJ.AX,Agricultural Land Trust,ASX,16013,0.029999999,480
AMN.AX,Agrimin Ltd,ASX,18716,0.435000002,"8,141"
AGR.AX,Aguia Resources Ltd,ASX,14949,0.041999999,628
A1M.AX,AIC Mines Ltd,ASX,11635,0.29874,"3,476"
APW.AX,Aims Property Securities Fund,ASX,14180,1.25,"17,725"
AGI.AX,Ainsworth Game Technology Ltd,ASX,16297,0.409999996,"6,682"
AIZ.AX,Air New Zealand Ltd,ASX,11659,1.235000014,"14,399"
AJL.AX,AJ Lucas Group Ltd,ASX,14044,0.035,492
AUQ.AX,Alara Resources Ltd,ASX,18387,0.013,239
ALY.AX,Alchemy Resources Ltd,ASX,16480,0.02,330
ALC.AX,Alcidion Group Ltd,ASX,19428,0.144999996,"2,817"
AL8.AX,Alderan Resources Ltd,ASX,16399,0.144999996,"2,378"
ARN.AX,Aldoro Resources Ltd,ASX,16678,0.077,"1,284"
LEP.AX,ALE Property Group,ASX,13060,4.96999979,"64,908"
AJX.AX,Alexium International Group Ltd,ASX,12494,0.059999999,750
AQI.AX,Alicanto Minerals Ltd,ASX,11213,0.059999999,673
AQX.AX,Alice Queen Ltd,ASX,11780,0.034000002,401
