Risk %,Return %,Decision
16,9,Don't Buy
2,4,Don't Buy
28,4,Don't Buy
20,6,Don't Buy
15,16,Buy
17,3,Don't Buy
8,3,Don't Buy
15,7,Don't Buy
12,11,Buy
8,5,Don't Buy
15,11,Buy
3,3,Don't Buy
13,17,Buy
4,25,Buy
3,2,Don't Buy
3,21,Buy
3,21,Buy
4,36,Buy
20,10,Don't Buy
17,6,Don't Buy
32,1,Don't Buy
36,3,Don't Buy
21,4,Don't Buy
20,2,Don't Buy
29,2,Don't Buy
23,1,Don't Buy
10,11,Buy
17,9,Don't Buy
17,10,Don't Buy
5,1,Don't Buy
27,1,Don't Buy
20,6,Don't Buy
19,8,Don't Buy
37,1,Don't Buy
23,3,Don't Buy
9,1,Don't Buy
5,2,Don't Buy
15,20,Buy
8,65,Buy
4,26,Buy
17,5,Don't Buy
3,52,Buy
16,2,Don't Buy
6,80,Buy
16,6,Don't Buy
7,48,Buy
16,2,Don't Buy
3,1,Don't Buy
11,12,Buy
6,24,Buy
10,12,Buy
13,5,Don't Buy
20,7,Don't Buy
21,1,Don't Buy
13,1,Don't Buy
23,1,Don't Buy
8,27,Buy
15,5,Don't Buy
16,5,Don't Buy
17,9,Don't Buy
7,0,Don't Buy
11,10,Don't Buy
16,9,Don't Buy
10,10,Don't Buy
29,3,Don't Buy
17,2,Don't Buy
25,3,Don't Buy
6,25,Buy
15,1,Don't Buy
19,5,Don't Buy
26,4,Don't Buy
26,0,Don't Buy
28,3,Don't Buy
11,18,Buy
28,2,Don't Buy
14,19,Buy
17,2,Don't Buy
9,3,Don't Buy
39,4,Don't Buy
24,0,Don't Buy
5,1,Don't Buy
32,0,Don't Buy
27,3,Don't Buy
26,1,Don't Buy
2,3,Don't Buy
5,0,Don't Buy
19,6,Don't Buy
10,12,Buy
35,4,Don't Buy
30,1,Don't Buy
11,2,Don't Buy
15,2,Don't Buy
31,3,Don't Buy
13,1,Don't Buy
20,5,Don't Buy
25,2,Don't Buy
5,0,Don't Buy
14,13,Buy
4,2,Don't Buy
5,2,Don't Buy
8,3,Don't Buy
17,6,Don't Buy
5,1,Don't Buy
29,2,Don't Buy
39,2,Don't Buy
31,3,Don't Buy
28,3,Don't Buy
34,4,Don't Buy
13,2,Don't Buy
12,3,Don't Buy
37,1,Don't Buy
3,34,Buy
3,2,Don't Buy
20,8,Don't Buy
34,2,Don't Buy
15,18,Buy
11,10,Don't Buy
15,20,Buy
24,1,Don't Buy
12,19,Buy
20,6,Don't Buy
7,26,Buy
12,10,Don't Buy
4,25,Buy
4,0,Don't Buy
19,6,Don't Buy
28,4,Don't Buy
23,4,Don't Buy
11,12,Buy
25,1,Don't Buy
12,19,Buy
31,1,Don't Buy
3,31,Buy
16,10,Don't Buy
19,3,Don't Buy
32,2,Don't Buy
19,3,Don't Buy
4,28,Buy
7,68,Buy
33,1,Don't Buy
15,5,Don't Buy
4,43,Buy
10,2,Don't Buy
4,67,Buy
21,3,Don't Buy
16,6,Don't Buy
10,11,Buy
13,3,Don't Buy
12,17,Buy
3,44,Buy
10,17,Buy
3,39,Buy
33,1,Don't Buy
8,55,Buy
32,1,Don't Buy
4,1,Don't Buy
5,26,Buy
6,24,Buy
18,7,Don't Buy
16,6,Don't Buy
7,28,Buy
26,3,Don't Buy
15,10,Don't Buy
33,1,Don't Buy
17,3,Don't Buy
16,5,Don't Buy
7,26,Buy
12,19,Buy
5,21,Buy
33,0,Don't Buy
8,62,Buy
6,38,Buy
14,15,Buy
24,3,Don't Buy
14,14,Buy
19,5,Don't Buy
24,2,Don't Buy
4,62,Buy
7,38,Buy
4,2,Don't Buy
3,20,Buy
15,9,Don't Buy
23,2,Don't Buy
6,28,Buy
6,2,Don't Buy
19,7,Don't Buy
15,12,Buy
35,2,Don't Buy
14,15,Buy
25,4,Don't Buy
20,7,Don't Buy
17,8,Don't Buy
36,1,Don't Buy
13,4,Don't Buy
19,6,Don't Buy
29,0,Don't Buy
13,12,Buy
11,15,Buy
4,46,Buy
21,2,Don't Buy
15,7,Don't Buy
23,1,Don't Buy
16,7,Don't Buy
10,13,Buy
15,9,Don't Buy
27,4,Don't Buy
30,1,Don't Buy
20,7,Don't Buy
14,13,Buy
36,1,Don't Buy
25,1,Don't Buy
36,3,Don't Buy
16,8,Don't Buy
12,0,Don't Buy
38,3,Don't Buy
20,9,Don't Buy
16,1,Don't Buy
19,3,Don't Buy
37,4,Don't Buy
18,2,Don't Buy
26,2,Don't Buy
11,16,Buy
27,3,Don't Buy
27,5,Don't Buy
3,1,Don't Buy
17,6,Don't Buy
26,1,Don't Buy
5,2,Don't Buy
20,1,Don't Buy
27,2,Don't Buy
18,6,Don't Buy
26,2,Don't Buy
34,1,Don't Buy
28,3,Don't Buy
26,4,Don't Buy
17,2,Don't Buy
30,2,Don't Buy
9,2,Don't Buy
40,3,Don't Buy
