Symbol,Price,1 Yr Price Target,EPS,PE,CAPM %,Beta,Alpha %,Expected Price Growth %
ABT,109.49,113.06,1.89,59.02,13.2672125,0.926520453,10.47030888,3.26
ABBV,107.15,131.64,4.57,23.46,11.88968522,0.82321934,9.369442912,22.86
ABMD,324.2,328.26,4.55,71.22,12.98672691,0.905486769,22.52390723,1.25
A,118.49,133.97,2.3,55.24,14.2481515,1.000081312,11.35429034,13.06
ALXN,156.24,168.71,4.31,36.52,13.82676655,0.96848155,-9.073213132,7.98
ALGN,534.38,577.4,21.98,25.96,20.31323956,1.454903771,33.13331757,8.05
ABC,97.76,125.3,-16.65,,12.87428228,0.897054518,-7.045391959,28.17
AMGN,229.92,243.55,12.4,19.23,12.50001905,0.868988426,1.029427859,5.93
ANTM,321.09,349.91,19.37,17.41,15.54374378,1.097238099,7.813245356,8.98
BAX,80.24,87.08,1.77,46.24,11.52264233,0.795694703,7.776334516,8.52
BDX,250.22,252.36,2.71,94.12,10.08395055,0.687806849,4.569252769,0.86
BIO,582.94,644.18,116.69,5.33,11.82333421,0.818243662,21.41988482,10.51
BIIB,244.86,268.44,30.38,8.31,13.32569833,0.93090632,-7.296382617,9.63
BSX,35.95,35.9,2.6,14.11,14.82230479,1.04313721,3.201790363,-0.14
BMY,62.03,69.53,-0.02,,9.946240014,0.677479902,-5.026776509,12.09
CAH,53.56,65.37,3.33,16.79,13.5959463,0.951172282,-14.45385255,22.05
CTLT,104.07,118.93,1.58,71.11,15.95187327,1.12784383,19.6298643,14.28
CNC,60.03,96.84,3.77,18.08,15.65790111,1.105798785,3.406429717,61.32
CERN,78.48,81.24,2.56,31.21,10.89428858,0.748574299,-1.32171437,3.52
COO,363.32,355.01,4.81,75.52,12.53822154,0.87185324,11.1851055,-2.29
CVS,68.3,76.32,6.05,12.37,11.72871327,0.811148013,-11.86717825,11.74
DHR,222.14,271.04,4.96,49.09,11.47057588,0.791790226,24.14832412,22.01
DVA,117.4,130.21,6.68,18.55,12.36236177,0.858665472,3.244993558,10.91
XRAY,52.36,59.97,-0.36,,12.22988854,0.848731272,-9.040172521,14.53
DXCM,369.72,393.13,2.42,160.43,13.4977643,0.94380959,30.15826845,6.33
EW,91.23,96.23,1.26,71.68,14.40706659,1.011998394,15.79720855,5.48
GILD,58.26,70.23,1.01,62.6,9.520797055,0.645575828,-12.92488816,20.55
HCA,164.46,173.65,9.89,17.42,15.205556,1.071877313,9.552702392,5.59
HSIC,66.86,72.07,4.09,17.63,12.15548712,0.843151891,-6.179268767,7.79
HOLX,72.83,81.71,4.21,19.12,13.11475306,0.915087482,4.220931629,12.19
HUM,410.27,463.9,31.2,14,13.94628738,0.977444447,8.123766665,13.07
IDXX,499.87,514.23,5.74,89.47,13.64489586,0.954843022,29.59051706,2.87
ILMN,370,393.31,4.31,87.99,15.42664996,1.088457204,6.794262904,6.3
INCY,86.98,102.16,-1.55,,13.00690229,0.906999726,-8.201522986,17.45
ISRG,818.1,828.56,8.78,93.27,16.38197806,1.160097496,18.18113002,1.28
IQV,179.17,194.78,0.91,210.91,16.22419116,1.148265016,7.80913164,8.71
JNJ,157.38,162.09,6.36,25.16,9.739459211,0.661973358,3.82548142,2.99
LH,203.55,217.62,8.62,24.77,14.59943844,1.026424407,-0.213527891,6.91
LLY,168.84,168.9,6.11,27.23,10.62185929,0.728144759,9.515986844,0.04
MCK,173.92,199.83,13.03,14.09,13.45943637,0.940935369,-9.108202597,14.9
MDT,117.14,122.8,2.74,43.69,12.74497134,0.887357459,1.063238833,4.83
MRK,81.8,85.68,4.53,18.34,10.2571892,0.700798058,3.963832752,4.74
MTD,1139.68,1243.07,23.79,52,13.87593874,0.972168984,14.41105756,9.07
PKI,143.5,161.39,3.69,43.31,13.10925052,0.914674845,10.87602668,12.47
PRGO,44.72,47.21,-0.05,,13.13577191,0.916663691,-26.77431665,5.57
PFE,36.81,36.01,1.54,24.14,10.34241578,0.70718922,-0.277561909,-2.17
DGX,119.17,125.63,8.11,15.16,11.06492216,0.761370154,4.651969695,5.42
REGN,483.11,512.85,27.29,18.28,11.0935017,0.76351334,-6.334662329,6.16
